# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
1r2kbr1/1b3pp1/p1np1q1p/1p1Np3/4P3/N2B4/PPP2PPP/R2QR1K1 b - - 5 14,216
1r1qkbr1/1b3pp1/p1np3p/1p1Np3/4P3/N2B4/PPP2PPP/R2QR1K1 w - - 6 15,185
1r1qkbr1/1b3pp1/p1np3p/1p1Np3/2P1P3/N2B4/PP3PPP/R2QR1K1 b - - 0 15,169
1r1qkbr1/1b3pp1/p1np3p/3Np3/1pP1P3/N2B4/PP3PPP/R2QR1K1 w - - 0 16,150
1r1qkbr1/1b3pp1/p1np3p/3Np3/1pP1P3/3B4/PPN2PPP/R2QR1K1 b - - 1 16,147
1r1qkbr1/1b3pp1/2np3p/p2Np3/1pP1P3/3B4/PPN2PPP/R2QR1K1 w - - 0 17,148
1r1qkbr1/1b3pp1/2np3p/p7/1pP1PN2/3B4/PPN3PP/R2QR1K1 b - - 0 18,13
2rqkbr1/1b3pp1/2np3p/p7/1pP1PN2/3B4/PPN3PP/R2QR1K1 w - - 1 19,89
2rqkbr1/1b3pp1/2np3p/p2N4/1pP1P3/3B4/PPN3PP/R2QR1K1 b - - 2 19,35
2r1kbr1/1b1q1pp1/2np3p/p2N4/1pP1P3/3B4/PPN3PP/R2QR1K1 w - - 3 20,381
2r1kbr1/1b1q1pp1/1Nnp3p/p7/1pP1P3/3B4/PPN3PP/R2QR1K1 b - - 4 20,371
2q1kbr1/1b3pp1/2np3p/p7/1pP1P3/3B4/PPN3PP/R2QR1K1 w - - 0 22,361
2q1kbr1/1b3pp1/2np3p/p7/1pP1P1P1/3B4/PPN4P/R2QR1K1 b - - 0 22,28
2q1kbr1/1b3pp1/3p3p/p3n3/1pP1P1P1/3B4/PPN4P/R2QR1K1 w - - 1 23,10
2q1kbr1/1b3pp1/3p3p/p3n3/1pP1P1P1/3BN3/PP5P/R2QR1K1 b - - 2 23,20
4kbr1/1b3pp1/3p3p/p2N4/1pP1q1P1/P2Q4/1P5P/R3R1K1 b - - 1 26,800
5br1/1bN1kppQ/3p3p/p3q3/1pP3P1/P7/1P5P/R3R1K1 b - - 5 28,856
2b2bQ1/2N1k1p1/7p/p3pp2/2P3P1/P7/7P/R5K1 w - - 1 32,1122
2b1kbQ1/6p1/7p/p2Npp2/2P3P1/P7/7P/R5K1 w - - 3 33,973
2b1kbQ1/6p1/1N5p/p3pp2/2P3P1/P7/7P/R5K1 b - - 4 33,1129
6k1/3Nb1p1/7p/p7/2P3Q1/P7/7P/R5K1 b - - 0 39,1333
6k1/3N2p1/7p/p5b1/2P3Q1/P7/7P/R5K1 w - - 1 40,1263
6k1/3N4/6pp/p5b1/2P5/P4Q2/7P/R5K1 w - - 0 41,1247
r1bq1rk1/1p2bppp/p1np1n2/4p3/2N1P3/2N1B3/PPP2PPP/R2QKB1R w KQ - 4 10,126
r1bq1rk1/1p2bppp/p1np1n2/4p3/2N1P3/2N5/PPPB1PPP/R2QKB1R b KQ - 5 10,-112
r1bq1rk1/4bppp/p1np1n2/1p2p3/2N1P3/2N5/PPPB1PPP/R2QKB1R w KQ - 0 11,-118
r1bq1rk1/4bppp/p1np1n2/1p2p3/4P3/2N1N3/PPPB1PPP/R2QKB1R b KQ - 1 11,-110
r1bq1rk1/4bppp/p2p4/4p3/1N2n3/4N3/PPP2PPP/R2QKB1R b KQ - 0 14,-93
r1b2rk1/4bppp/p2p4/q3p3/1N2n3/4N3/PPP2PPP/R2QKB1R w KQ - 1 15,-40
r1b2rk1/4bppp/p2p4/q2Np3/1N2n3/8/PPP2PPP/R2QKB1R b KQ - 2 15,-202
r1b2rk1/5ppp/p2p4/q2Np3/1N2n2b/8/PPP2PPP/R2QKB1R w KQ - 3 16,-65
r1b2rk1/5ppp/p2p4/q2Np3/1N2n2b/6P1/PPP2P1P/R2QKB1R b KQ - 0 16,-221
r1b2rk1/5ppp/p2p4/q2Np1b1/1N2n3/6P1/PPP2PBP/R2QK2R b KQ - 2 17,-67
r4rk1/5ppp/p2p4/q2Np3/1b2n3/6PB/PPP2P1P/R2Q1K1R w - - 0 20,70
r4r1k/4Nppp/p2p4/q2Qp3/1b2n3/6PB/PPP2P1P/R4K1R b - - 3 21,-92
r4r1k/5ppp/p2p4/3Np3/1b2n3/6PB/PPP2P1P/R4K1R b - - 0 22,-117
rr5k/5p1p/p2p2p1/3NpB2/1b6/6P1/PPPn1PKP/R6R w - - 0 25,247
rrB4k/5p1p/p2p2p1/3Np3/1b6/6P1/P1Pn1PKP/R6R w - - 0 27,-151
r1r4k/5p1p/p2p2p1/4p3/1N6/6P1/P1Pn1PKP/R2R4 b - - 0 28,-235
r1r4k/5p1p/p2p2p1/4p3/1N2n3/6P1/P1P2PKP/R2R4 w - - 1 29,-264
r1r4k/7p/p2p2p1/4pp2/1N2n3/6P1/P1P2PKP/R3R3 w - - 0 30,-402
r1r4k/7p/p2p2p1/4pp2/1N2n3/6P1/P1P2P1P/R3RK2 b - - 1 30,-476
r1r4k/7p/3p2p1/p3pp2/1N2n3/6P1/P1P2P1P/R3RK2 w - - 0 31,-526
r6k/7p/3p2p1/4pp2/1p2P3/6P1/P1r4P/R3RK2 w - - 0 33,-477
r6k/7p/3p2p1/4pP2/1p6/6P1/r7/3RR1K1 b - - 0 35,-483
r6k/7p/3R4/4pp2/1p6/6P1/r7/4R1K1 b - - 0 36,-571
r6k/7p/3R4/5p2/1p2p3/6P1/r7/4R1K1 w - - 0 37,-503
r6k/7p/8/3R1p2/1p2p3/6P1/r7/4R1K1 b - - 1 37,-580
r6k/7p/8/3R1p2/1p2p3/6P1/8/r3R1K1 w - - 2 38,-456
7k/7p/8/3R1p2/1p2p3/6P1/6K1/r7 b - - 1 39,-524
7k/7p/8/4R3/8/1p4PK/r3p3/8 w - - 0 43,-540
8/4R2p/5k2/8/8/1p4PK/r3p3/8 w - - 4 45,-594
8/7p/5k2/8/8/1p4PK/4r3/8 w - - 0 46,-691
r1bqkb1r/5ppp/p1np1n2/4p3/4P3/2NBB3/PPP2PPP/R2QK2R b KQkq - 0 11,-588
1rbqkb1r/5ppp/p1np1n2/4p3/4P3/2NBB3/PPP2PPP/R2QK2R w KQk - 1 12,-458
1rb1kb1r/5ppp/p1np1n2/q3p3/4P3/1PNBB3/P1P2PPP/R2QK2R w KQk - 1 13,-445
1rb1kb1r/5ppp/p1np4/q3p3/4P1n1/1PNBB3/P1PQ1PPP/R3K2R w KQk - 3 14,-495
1rb1kb1r/5ppp/p1np4/q3p3/4P3/1PNBP3/P1PQ2PP/2KR3R b k - 0 15,-560
1rb1k2r/4bppp/p1np4/q3p3/4P3/1PNBP3/P1PQ2PP/2KR3R w k - 1 16,-566
1r2k2r/4bppp/p1np4/q3p3/4P1b1/1PNBP3/P1PQ2PP/2KR1R2 w k - 3 17,-499
1r3rk1/4bppp/p1np4/q3p3/4P1b1/1PNBP3/P1PQ2PP/2K1RR2 w - - 5 18,-695
1r3rk1/3bbppp/p1np4/q3p3/4P3/1PNBP2P/P1PQ2P1/2K1RR2 w - - 1 19,-622
1r3rk1/3bbppp/p1np4/q3p3/4P3/1PNBP2P/P1PQ2P1/2K1R1R1 b - - 2 19,-807
2r2rk1/3bbppp/p1np4/4p3/4P3/qPNBP2P/P1PQ2P1/1K1R2R1 b - - 6 21,-733
2r2rk1/3b1ppp/p1np1b2/4p3/2B1P3/qPN1P2P/P1PQ2P1/1K1R2R1 b - - 8 22,-543
1r4k1/3R1ppp/5b2/4p3/P3r3/1P5P/6P1/1KR5 w - - 1 30,-495
3r2k1/1R3ppp/5b2/P3p3/8/1P1r2PP/8/1KR5 w - - 1 33,-493
3r2k1/1R3ppp/5b2/P3p3/8/1P1r2PP/8/1K4R1 b - - 2 33,-509
3r2k1/1R3ppp/P4b2/8/4p3/1P1r2PP/8/1K4R1 b - - 0 34,-505
3r2k1/1R3ppp/P7/8/3bp3/1P1r2PP/8/1K4R1 w - - 1 35,-542
3r2k1/1R3ppp/P7/8/1P1bR3/7r/8/1K6 b - - 0 37,-394
3r2k1/1R3ppp/P7/8/1P1bR3/8/2K5/7r b - - 2 38,-398
3r2k1/4R3/P7/5ppp/1P1b4/8/2K1R3/7r b - - 1 41,-479
2r3k1/4R3/P7/5pp1/KP1b3p/8/4R3/1r6 w - - 0 44,-421
2r3k1/3R4/P7/5pp1/KP5p/2b5/4R3/1r6 w - - 2 45,-433
2r3k1/8/3r1b2/2R3p1/1P6/1K5p/4R3/8 b - - 2 50,-672
4r1k1/8/3r1b2/1PR5/6p1/1K5p/7R/8 w - - 2 53,-590
4r3/5k2/3r4/1P2b3/6R1/6p1/7p/1K2R3 b - - 7 59,-766
4r3/4k3/8/1P2b3/3r2R1/6p1/7p/1K3R2 w - - 10 61,-719
4r3/4k3/8/1P6/3b4/6p1/7p/1K3R2 w - - 0 62,-629
4r3/4k3/8/1P6/3b4/8/6pp/1K1R4 w - - 0 63,-976
4r3/5k2/8/1P6/3b4/8/6pp/1K2R3 w - - 2 64,-979
8/4rk2/8/1P6/3b4/8/K5p1/7q w - - 0 66,-1451
r1bqk2r/1p2bppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R w KQkq - 2 9,36
r1bq1rk1/4bppp/pBnp1n2/1p2p3/2N1P3/2NB4/PPP2PPP/R2QK2R b KQ - 1 11,-6
r1bb1rk1/3q1ppp/p2p1n2/Bp2p3/4P3/2NB4/PPP2PPP/R2QK2R w KQ - 1 14,-32
r1br2k1/3q1ppp/p2p1n2/1p2p3/4P3/2NB4/PPP2PPP/R2Q1RK1 b - - 1 15,-18
r4rk1/1b1q1ppp/pN1p1n2/1p2p3/4P3/3B4/PPP2PPP/R2Q1RK1 b - - 5 17,222
r5k1/1b2qppp/p4n2/1p1pp3/4P3/3B4/PPP1QPPP/R4RK1 w - - 0 20,312
r5k1/1b2qppp/p7/1p1np3/8/3B4/PPP1QPPP/R4RK1 w - - 0 21,449
r5k1/1b2qppp/p7/1p1np3/8/3B4/PPP1QPPP/4RRK1 b - - 1 21,348
3r2k1/1b2qppp/p4n2/1p2p3/4B3/8/PPPQ1PPP/4RRK1 w - - 6 24,251
3r2k1/1b2qppp/p4n2/1p2p3/8/3B4/PPPQ1PPP/4RRK1 b - - 7 24,220
b5k1/1q3ppp/5n2/Qp1rR3/8/5P2/PPP3PP/5RK1 w - - 1 29,170
bq4k1/5ppp/5n2/Qp1rR3/8/5P2/PPP3PP/4R1K1 w - - 3 30,65
1q4k1/5ppp/5n2/Q2b1P2/1p6/8/PPP3PP/4R1K1 b - - 0 32,-186
8/5Rpk/7p/4Q3/1p4qP/1Pn3P1/P1b4K/8 w - - 0 43,-206
8/3Q1b1k/7p/8/6PK/5q2/8/8 b - - 3 61,-439
8/1Q3bk1/7p/8/3q2P1/6K1/8/8 b - - 11 65,-383
1q4k1/5b2/7p/8/4Q1P1/8/6K1/8 b - - 19 69,-301
3q2k1/5b2/7p/8/4Q1P1/8/8/6K1 b - - 21 70,-331
6k1/5b2/7p/3q4/6P1/8/6Q1/6K1 b - - 23 71,-414
8/6k1/7p/3b4/3q2P1/6K1/4Q3/8 w - - 36 78,-311
6k1/4Q3/7p/3b4/3q2P1/6K1/8/8 w - - 38 79,0
8/6k1/7p/3b4/6P1/6K1/8/8 w - - 0 82,-412
8/6k1/7p/3b4/6PK/8/8/8 b - - 1 82,-677
8/8/6kp/3b4/6PK/8/8/8 w - - 2 83,-425
8/8/6kp/3b4/6P1/7K/8/8 b - - 3 83,-690
8/8/7p/3b2k1/6P1/7K/8/8 w - - 4 84,-712
8/8/8/5bk1/7p/5K2/8/8 b - - 1 89,-705
8/8/4b3/4k3/8/7p/7K/8 b - - 7 94,-700
8/8/4b3/8/8/6k1/7p/5K2 w - - 0 97,-742
r1bqk2r/1p2bppp/p1np1n2/4p3/2N1P3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 3 9,36
r1bq1rk1/1p2bppp/p1np1n2/4p3/2N1P2P/2N1B3/PPP2PP1/R2QKB1R b KQ - 0 10,-16
r1bq1rk1/4bppp/pBnp1n2/1p2p3/2N1P2P/2N5/PPP2PP1/R2QKB1R b KQ - 1 11,-57
r1b2rk1/3qbppp/pBnp1n2/1p2p3/2N1P2P/2N5/PPP2PP1/R2QKB1R w KQ - 2 12,-49
r1b2rk1/3qbppp/pB1p1n2/Np2p3/1n2P2P/2N5/PPP2PP1/R2QKB1R w KQ - 4 13,-75
r1b2rk1/3qbppp/pB1p1n2/1p2p3/1n2P2P/1NN5/PPP2PP1/R2QKB1R b KQ - 5 13,-298
r4rk1/1b1qbppp/pB1p1n2/1p2p3/1n2P2P/1NN5/PPP2PP1/R2QKB1R w KQ - 6 14,-53
r4rk1/1b1qbppp/pB3n2/1p1pp3/1n2P2P/1NNB4/PPP2PP1/R2QK2R w KQ - 0 15,-360
r4rk1/1q2bppp/p4n2/1p1pp3/4P2P/P1NP4/1P3PP1/R2QK2R w KQ - 0 19,-708
r4rk1/1q2bppp/p7/1p1np3/6QP/P1NP4/1P3PP1/R3K2R b KQ - 1 20,-775
r4rk1/1q2bppp/p7/1p2p3/6QP/P1Nn4/1P3PP1/R4RK1 w - - 0 22,-569
r1q2rk1/3Rbppp/p7/1p2p3/6QP/P1N5/1n3PP1/R5K1 w - - 2 24,-562
r1q2rk1/3Rb1pp/p7/1p2pp2/6QP/P1N5/Rn3PP1/6K1 w - - 0 25,-639
r4rk1/3q2pp/p7/1p2pp2/7b/P1N5/RQ3PP1/6K1 w - - 0 27,-835
r4rk1/3q2pp/p7/1p2pp2/P6b/2N5/RQ3PP1/6K1 b - - 0 27,-916
3r2k1/6pp/5b2/4pp2/8/8/N4PP1/6K1 w - - 1 33,-787
3r2k1/6pp/5b2/4pp2/8/8/N4PP1/5K2 b - - 2 33,-792
3r2k1/6pp/5b2/5p2/4p3/8/N4PP1/5K2 w - - 0 34,-775
3r2k1/6pp/8/5pP1/1b2p3/8/5P2/5K2 b - - 0 36,-906
3r4/5kpp/8/5pP1/1b2p3/8/4KP2/8 b - - 2 37,-929
8/5kpp/8/5pP1/1b2p3/4K3/3r1P2/8 b - - 4 38,-967
8/6pp/6k1/5pP1/1b2p3/4K3/3r1P2/8 w - - 5 39,-940
8/6pp/6k1/5pP1/1b2pP2/3r4/5K2/8 b - - 2 40,-1080
8/6pp/8/5pk1/4pb2/8/6K1/3r4 w - - 0 44,-861
8/6p1/8/5pkp/4pb2/8/5K2/3r4 w - - 0 45,-947
8/6p1/8/5pkp/4pb2/8/3r4/4K3 b - - 3 46,-1114
8/6p1/8/5pkp/5b2/4p3/3r4/4K3 w - - 0 47,-1500
8/6p1/8/5pkp/5b2/4p3/3r4/5K2 b - - 1 47,-1500
r1bqkb1r/5ppp/p1np1n2/4p3/1p2P3/N1NB1P2/PPP3PP/R1BQK2R w KQkq - 0 10,-623
r1b1kb1r/5ppp/p1np1n2/q3p3/4P3/N2B1P2/PPP3PP/R1BQ1K1R b kq - 2 12,-752
r1b1kb1r/2q2ppp/p1np1n2/4p3/4P3/N2B1P2/PPP3PP/R1BQ1K1R w kq - 3 13,-723
r4rk1/1bq1bppp/p1np1n2/4p3/2N1P3/3BBP2/PPP3PP/R2Q2KR w - - 9 16,-641
4rrk1/1bq1bppp/p1np1n2/4p3/P1N1P3/3BBP2/1PP3PP/R2Q2KR w - - 1 17,-622
5rk1/2r1bppp/1Q6/P7/3pP3/8/1Pq3PP/R5KR b - - 3 26,-914
r5k1/5ppp/8/P7/1b2P3/5K2/1P4PQ/8 w - - 3 33,371
6k1/4bp1p/8/6p1/4P1K1/1Pr3P1/Q7/8 w - - 6 38,113
Q7/4bpkp/8/6p1/4P1K1/1Pr3P1/8/8 w - - 8 39,230
1Q6/5pk1/7p/4P1p1/6K1/1Pr3P1/5b2/8 w - - 2 43,8
1Q6/5pk1/7p/4P1p1/1P4K1/5r2/5b2/8 b - - 3 45,0
6k1/5p2/5Q1p/4P3/1Prb2p1/8/6K1/8 w - - 4 50,232
6k1/5p2/7p/4P3/1Prb1Qp1/8/6K1/8 b - - 5 50,26
7k/3Q1p2/7p/4P3/3b4/3K4/4r3/8 b - - 8 55,149
8/3Q1p1k/7p/8/1r6/2K5/8/8 b - - 4 59,54
8/3Q1p1k/7p/8/5r2/2K5/8/8 w - - 5 60,25
8/2Q2p1k/7p/8/5r2/2K5/8/8 b - - 6 60,34
8/2Q2p1k/5r1p/8/8/2K5/8/8 w - - 7 61,0
8/5p2/6kp/1Q6/4r3/5K2/8/8 b - - 22 68,42
8/6k1/2Q4p/5p2/4r3/5K2/8/8 w - - 2 70,316
8/3Q4/6kp/5p2/4r3/5K2/8/8 w - - 4 71,324
8/8/5Q1p/5p1k/8/3K4/5r2/8 w - - 22 80,481
8/8/5Q1p/5p1k/8/4K3/5r2/8 b - - 23 80,395
8/8/5Q1p/5p1k/8/4K3/8/5r2 w - - 24 81,387
8/8/5Q1p/5p1k/5r2/8/3K4/8 b - - 27 82,317
8/8/5Q1p/5p1k/5r2/8/8/4K3 w - - 30 84,297
8/6Q1/7p/5p1k/4r3/8/3K4/8 w - - 36 87,300
8/8/7p/4Qp1k/5r2/8/3K4/8 b - - 39 88,364
8/5Q2/7p/5pk1/5r2/8/3K4/8 w - - 44 91,326
8/8/1Q6/5pkp/5r2/8/3K4/8 b - - 1 97,268
r1bqkb1r/5ppp/p1np1n2/1p2p3/4P3/N1N2P2/PPP3PP/R1BQKB1R w KQkq - 0 9,-46
r1bqkb1r/5ppp/p1np1n2/4p3/4P3/2NB1P2/PPP3PP/R1BQK2R b KQkq - 0 11,-650
r1bqk2r/4bppp/p1np1n2/4p3/4P3/2NB1P2/PPP3PP/R1BQ1RK1 b kq - 2 12,-591
r1b2rk1/4qpp1/p1np1n1p/4p3/4P3/3B1P2/PPP3PP/R1BQ1RK1 w - - 0 15,-638
r2r2k1/1b3pp1/p1np1n1p/2q1p3/P1P1P3/5P2/1P2BRPP/R1BQ2K1 w - - 1 19,-499
2rr2k1/1b3pp1/p1np1n1p/2q1p3/P1P1P3/3B1P2/1P3RPP/R1B1Q1K1 b - - 4 20,-562
2rr2k1/1b3pp1/p2p1n1p/2q1p3/P1PnP3/3BBP2/1P3RPP/R3Q1K1 b - - 6 21,-486
2rr2k1/1bq2pp1/p2p1n1p/4p3/P1PnP3/3BBP2/1P3RPP/R3Q1K1 w - - 7 22,-460
2rr2k1/1bq2pp1/p2p1n1p/8/P1PpP3/3B1P2/1P1R2PP/R3Q1K1 b - - 1 23,-599
2rr2k1/2q2pp1/p1bp1n1p/8/P1PpP3/3B1P2/1P1R2PP/R3Q1K1 w - - 2 24,-526
2rr2k1/2q2pp1/p1bp1n1p/8/P1PpP3/3B1P2/1P1R1QPP/R5K1 b - - 3 24,-568
2rr2k1/3q1pp1/p1bp1n1p/P7/2PpP3/5P2/1P1R1QPP/R4BK1 b - - 0 26,-372
2rr2k1/3q1pp1/p2p3p/P7/2Ppn3/8/1P1R1QPP/R4BK1 w - - 0 28,-268
2rr2k1/3q1pp1/p2p3p/P7/2P5/8/1P1Q2PP/R4BK1 b - - 0 29,-262
2r1r1k1/3q1pp1/p2p3p/P7/2P5/8/1P1Q2PP/4RBK1 b - - 2 30,-455
2r3k1/3q1pp1/p2p3p/P7/2P5/8/1P4PP/4QBK1 b - - 0 31,-533
1r4k1/2q2pp1/p2p3p/P7/2P5/8/1P3QPP/5BK1 w - - 3 33,-636
6k1/5pp1/p2p3p/P1q5/1rP5/8/1P1Q2PP/5B1K w - - 7 35,-534
Qr4k1/2q2pp1/p2p4/P6p/2P5/8/1P4PP/5BK1 w - - 2 38,-634
Q7/5kp1/3p4/P1q2p2/2P4p/8/6PP/2rB3K w - - 6 45,-570
8/5kp1/3p4/q4p2/2P4p/5Q2/6PP/2rB3K w - - 0 46,-641
8/6p1/3pk3/q4p2/2P4Q/8/6PP/2rB3K w - - 1 48,-888
8/3k2p1/3p4/5P2/2P4Q/8/3q3P/2rB3K w - - 1 50,-953
8/3k2p1/3p4/5P2/2P5/5K2/7q/8 w - - 0 54,-866
8/3k4/3p4/5p2/2q5/6K1/8/8 w - - 0 58,-886
8/3k4/8/3p1p2/2q5/8/6K1/8 w - - 0 59,-844
8/3k4/8/3p1p2/2q5/8/5K2/8 b - - 1 59,-880
8/3k4/8/5p2/2qp4/5K2/8/8 b - - 1 60,-893
8/3k4/8/5p2/2q5/3p4/5K2/8 b - - 1 61,-1365
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R b KQkq - 1 8,-25
r1bqkb1r/5ppp/p1np1n2/1p2p3/4P3/N1N2P2/PPP1Q1PP/R1B1KB1R b KQkq - 1 9,-703
r1bqkb1r/5ppp/p2p1n2/1p2p3/3nP3/N1N2P2/PPP1Q1PP/R1B1KB1R w KQkq - 2 10,-499
r1bqkb1r/5ppp/p2p1n2/1p2p3/3nP3/N1N2P2/PPP2QPP/R1B1KB1R b KQkq - 3 10,-516
r1bqkb1r/5ppp/p2p1n2/4p3/1p1nP3/N1N2P2/PPP2QPP/R1B1KB1R w KQkq - 0 11,-632
r1bqkb1r/5ppp/p2p1n2/4p3/3nP3/2N2P2/PPP2QPP/R1B1KB1R b KQkq - 0 12,-645
r2qkb1r/1b3ppp/p2p1n2/4p3/3nP3/2N2P2/PPP2QPP/R1B1KB1R w KQkq - 1 13,-554
r2qkb1r/1b3ppp/p2p1n2/4p3/3nP3/2N1BP2/PPP2QPP/R3KB1R b KQkq - 2 13,-538
r3kb1r/1b3ppp/pq1p1n2/4p3/3nP3/2N1BP2/PPP2QPP/2KR1B1R b kq - 4 14,-420
2kr1b1r/1b3ppp/pq1p1n2/4p3/3nP3/2N1BP1P/PPP2QP1/2KR1B1R b - - 0 15,-323
2kr1b1r/1b3pp1/pq1p1n2/7p/3RP3/2N2P1P/PPP2QP1/2K2B1R b - - 0 17,-270
2kr1b1r/1bq2pp1/p2p1n2/7p/3RP3/2N2P1P/PPP2QP1/2K2B1R w - - 1 18,613
2kr1b1r/1bq2pp1/p2p1n2/7p/3RP2Q/2N2P1P/PPP3P1/2K2B1R b - - 2 18,-324
2k1rb1r/1bq2pp1/p2p1n2/7p/3RP2Q/2N2P1P/PPP3P1/2K2B1R w - - 3 19,453
2k1rb1r/1bq2pp1/p2p1n2/7p/2BRP2Q/2N2P1P/PPP3P1/2K4R b - - 4 19,-157
2k1r2r/1bq1bpp1/p2p1n2/7p/2BRP2Q/2N2P1P/PPP3P1/2K4R w - - 5 20,-114
2k1r2r/1bq1bpp1/p2p1n2/7p/2BRP3/2N2P1P/PPP2QP1/2K4R b - - 6 20,-287
2k1rr2/1bq1bpp1/p2p1n2/7p/2BRP3/2N2P1P/PPP2QP1/2K4R w - - 7 21,-51
2k1rr2/1bq1bpp1/p2p4/3B3p/3RP3/5P1P/PPP2QP1/2K4R b - - 0 22,-291
2k1rr2/1bq1bpp1/3p4/p2B3p/2R1P3/5P1P/PPP2QP1/2K4R b - - 1 23,754
2k1rr2/1bq2pp1/3p4/p2B2bp/2R1P3/5P1P/PPP2QP1/1K5R b - - 3 24,759
2k1rr2/2q2pp1/2Rp4/p2B2bp/4P3/5P1P/PPP2QP1/1K5R b - - 0 25,966
2k1rr2/5pp1/2Bp4/p5bp/4P3/5P1P/PPP2QP1/1K5R b - - 0 26,1005
2k2r2/5pp1/2Bpr3/p5bp/4P3/5P1P/PPP2QP1/1K5R w - - 1 27,1500
2k2r2/Q4pp1/2Bpr3/p5bp/4P3/5P1P/PPP3P1/1K5R b - - 2 27,1500
r1bqkb1r/5ppp/p1np1n2/1p2p3/4P3/N1NB1P2/PPP3PP/R1BQK2R b KQkq - 1 9,-601
r2qk2r/1b2bppp/p1np1n2/4p3/4P3/2NB1P2/PPP3PP/R1BQ1RK1 w kq - 3 13,-565
r2qk2r/1b2bppp/p2p4/3Pp3/1n6/3B1P2/PPP3PP/R1BQ1RK1 w kq - 1 15,-500
r2qk2r/1b2bppp/p2p4/3Pp3/1nB5/5P2/PPP3PP/R1BQ1RK1 b kq - 2 15,-592
r3k2r/1bq1bppp/p2p4/3Pp3/1nB5/1P3P2/P1P3PP/R1BQ1RK1 b kq - 0 16,-712
r3k2r/1b2bppp/p2p4/2qnp3/2B5/1P3P2/P1P2RPP/R1BQ2K1 w kq - 0 18,-571
r3k2r/1b2bppp/p1qp4/3np3/2B5/BP3P2/P1P2RPP/R2Q2K1 w kq - 2 19,-622
r3k2r/1b2bppp/p1qp4/3np3/2B5/BP3P2/P1P2RPP/1R1Q2K1 b kq - 3 19,-827
r3k2r/1b2bppp/p1qp4/4p3/2B5/BPn2P2/P1P2RPP/1R1Q2K1 w kq - 4 20,-729
r3k2r/1b2bppp/p1qp4/4p3/2B5/BP3P2/P1P2RPP/1Q4K1 b kq - 0 21,-862
2r1k2r/1b2bppp/p1qp4/4p3/2B5/1P3P2/PBP2RPP/1Q4K1 b k - 2 22,-791
2r2rk1/1b2bppp/p1qp4/4p3/2B5/1P3P2/PBP2RPP/1Q4K1 w - - 3 23,-795
2r2rk1/1b2bppp/p1qp4/4p3/2B5/1P3P2/PBP1R1PP/1Q4K1 b - - 4 23,-911
2r2rk1/1b2bppp/p2p4/2q1p3/2B5/1P3P2/PBP2RPP/1Q4K1 b - - 6 24,-843
2r2rk1/1b3ppp/p2p1b2/2q1p3/2B5/1P3P2/PBP2RPP/1Q4K1 w - - 7 25,-741
2r2rk1/1b3ppp/p2p1b2/2q1p3/P1B5/1P3P2/1BP2RPP/1Q4K1 b - - 0 25,-850
2r1r1k1/1b3ppp/p4b2/2qpp3/P7/1P1B1P2/1BP2RPP/1Q4K1 w - - 2 27,-743
2r1r1k1/1b3ppp/p4b2/2q5/P1P1p3/1P1B4/1B3RPP/1Q4K1 w - - 0 29,-804
2r1r1k1/1b3ppp/p4b2/2q5/P1P1p3/1P6/1BB2RPP/1Q4K1 b - - 1 29,-903
2r1r1k1/1b3ppp/p7/2q5/P1P1p3/1P6/1QB2RPP/6K1 b - - 0 30,-894
2rr2k1/1b3ppp/p7/2q5/P1P1p3/1P6/1QB2RPP/6K1 w - - 1 31,-829
2rr2k1/1b3ppp/p7/2q5/P1P1p3/1PQ5/2B2RPP/6K1 b - - 2 31,-902
2rr2k1/1b3ppp/p7/2q5/P1P5/1PQ1p3/2B1R1PP/6K1 b - - 1 32,-776
2r3k1/1b3ppp/p7/2q5/P1P5/1PQ1p3/2BrR1PP/6K1 w - - 2 33,-823
6k1/1b3ppp/p7/2q5/P1P5/1PQ1p3/2Br2PP/5K2 w - - 0 35,-893
8/5pkp/p7/2q5/P1P1B3/1P2p3/3r2PP/5K2 b - - 0 37,-1500
8/5pkp/p7/2q5/P1P1B3/1P6/3rp1PP/4K3 b - - 1 38,-1500
r1bqk2r/1p2bppp/p1np1n2/4p3/P3P3/N1N5/1PP2PPP/R1BQKB1R w KQkq - 2 9,15
2bq1rk1/rp2bppp/p1np1n2/4p3/P1B1P3/N1N5/1PP1QPPP/R1B2RK1 b - - 7 11,45
2bq1rk1/rp2bppp/p2p1n2/4p3/P1BnP3/N1N5/1PP1QPPP/R1B2RK1 w - - 8 12,88
3qr1k1/r3bppp/pp1pbn2/4p3/P1NnP3/2NB4/1PPQ1PPP/R1B1R1K1 w - - 2 16,63
3qr1k1/3rbppp/1p1pbn2/p3p3/P1NnP2P/1PNB4/2PQ1PP1/R1BR2K1 b - - 0 18,-193
3qr1k1/3rbppp/1p1p1n2/p3p3/P1NnP1bP/1PNB4/2PQ1PP1/R1BR2K1 w - - 1 19,-44
4r1k1/2qrbppp/1p1p1n2/pP2p3/2N1P1bP/1P1B4/2PQ1PP1/R1B1R1K1 b - - 0 21,-119
